,Unnamed: 0,carat,cut,color,clarity,depth,table,price,x,y,z,class
40,40,1.24,Premium,D,VS2,59.3,58.0,9916,7.09,7.03,4.19,reject
41,41,1.0,Premium,E,VS2,61.5,58.0,6720,6.42,6.39,3.94,reject
42,42,0.4,Ideal,I,VVS1,62.3,56.0,854,4.67,4.7,2.92,reject
43,43,1.54,Premium,I,SI2,60.1,61.0,7727,7.46,7.41,4.47,reject
44,44,2.14,Premium,E,SI2,61.5,58.0,18291,8.31,8.24,5.09,reject
45,45,0.41,Ideal,I,VVS1,61.8,55.0,863,4.76,4.79,2.95,reject
46,46,0.34,Ideal,G,VS2,62.9,55.0,765,4.52,4.45,2.82,reject
47,47,0.43,Ideal,G,VS1,61.6,55.1,1005,4.85,4.89,3.0,reject
48,48,0.42,Ideal,D,SI1,61.9,57.0,810,4.77,4.82,2.97,reject
49,49,0.7,Premium,F,SI1,60.8,56.0,2394,5.72,5.66,3.46,reject
50,50,0.75,Premium,E,SI1,61.7,60.0,3024,5.84,5.8,3.59,reject
51,51,1.01,Premium,I,SI1,61.8,58.0,4185,6.45,6.37,3.96,reject
52,52,0.39,Premium,E,SI1,59.1,59.0,860,4.81,4.76,2.83,reject
53,53,1.5,Ideal,I,VS1,62.0,54.0,10164,7.32,7.38,4.56,reject
54,54,0.6,Good,F,SI1,57.1,61.0,1599,5.68,5.57,3.21,reject
55,55,0.31,Premium,G,VS1,59.9,59.0,617,4.44,4.41,2.65,reject
56,56,2.01,Very Good,G,SI1,62.1,60.0,18398,7.94,8.03,4.96,reject
57,57,0.43,Ideal,H,SI1,62.1,57.0,669,4.77,4.83,2.98,reject
58,58,0.77,Very Good,G,SI1,63.2,57.0,2586,5.86,5.76,3.67,reject
59,59,0.31,Very Good,H,VS1,63.1,57.0,698,4.34,4.31,2.73,reject
60,60,0.76,Very Good,F,VS2,62.5,58.0,3238,5.79,5.83,3.63,accept
61,61,1.29,Very Good,J,SI2,63.5,57.0,3884,6.89,6.87,4.37,reject
62,62,1.14,Very Good,H,SI1,63.1,58.0,5458,6.69,6.6,4.19,reject
63,63,0.55,Ideal,G,SI2,61.6,56.0,1358,5.28,5.31,3.26,reject
64,64,1.01,Ideal,E,VS1,61.5,57.0,7589,6.44,6.47,3.97,reject
65,65,1.0,Very Good,I,VS1,61.1,59.9,5009,6.37,6.41,3.9,reject
66,66,0.9,Very Good,E,VS2,60.4,60.0,4707,6.23,6.29,3.78,reject
67,67,0.41,Ideal,G,VVS2,61.7,55.0,1199,4.81,4.85,2.98,reject
68,68,0.85,Good,J,SI1,59.2,64.0,2278,6.17,6.13,3.64,reject
69,69,0.9,Fair,D,SI2,64.9,57.0,3473,6.03,5.98,3.9,reject
70,70,1.5,Good,J,SI2,63.7,58.0,5107,7.19,7.13,4.56,reject
71,71,0.5,Premium,D,SI1,61.1,59.0,1610,5.08,5.04,3.09,reject
72,72,0.3,Very Good,H,SI1,60.8,61.0,421,4.25,4.3,2.6,reject
73,73,0.34,Ideal,F,SI1,62.8,56.0,727,4.46,4.42,2.79,reject
74,74,1.61,Premium,D,SI1,59.0,60.0,12231,7.68,7.6,4.51,reject
75,75,1.29,Premium,H,SI2,60.1,58.0,5924,7.02,6.95,4.2,reject
76,76,0.3,Ideal,G,VS1,62.0,54.0,776,4.35,4.3,2.68,reject
77,77,0.91,Premium,E,VS1,62.7,59.0,5057,6.15,6.19,3.87,reject
78,78,0.91,Premium,E,SI1,61.5,60.0,3911,6.19,6.24,3.82,reject
79,79,0.56,Ideal,H,VS2,61.2,57.0,1388,5.29,5.33,3.25,reject
80,80,0.33,Premium,D,SI1,60.0,59.0,780,4.5,4.47,2.69,reject
81,81,0.31,Ideal,G,VS2,62.2,53.0,562,4.37,4.38,2.72,reject
82,82,1.33,Premium,I,SI2,62.3,59.0,5765,7.01,6.98,4.36,reject
83,83,1.04,Ideal,D,IF,61.8,57.0,14626,6.52,6.49,4.02,accept
84,84,0.4,Ideal,J,VS1,62.1,53.0,633,4.75,4.78,2.96,reject
85,85,0.77,Ideal,I,VS1,61.4,56.0,3066,5.9,5.93,3.63,reject
86,86,0.33,Ideal,H,VVS2,61.9,57.0,854,4.44,4.41,2.74,reject
87,87,0.51,Very Good,E,SI1,63.2,61.0,1443,5.08,5.05,3.2,reject
88,88,1.15,Premium,D,SI1,61.1,53.0,7213,6.83,6.76,4.15,reject
89,89,0.47,Good,E,VS1,58.3,61.2,1447,5.11,5.15,2.98,accept
90,90,1.17,Ideal,F,SI1,62.2,56.0,5944,6.73,6.71,4.18,reject
91,91,0.41,Premium,G,VVS2,61.6,58.0,1007,4.74,4.8,2.94,reject
92,92,1.26,Premium,I,SI2,60.1,59.0,5151,7.0,6.91,4.18,reject
93,93,0.31,Ideal,H,VS1,61.6,54.8,557,4.35,4.37,2.69,reject
94,94,1.07,Ideal,G,VS2,61.9,55.0,7275,6.55,6.57,4.06,reject
95,95,0.38,Ideal,F,I1,62.5,57.0,638,4.64,4.61,2.89,accept
96,96,0.3,Premium,F,SI2,61.3,58.0,394,4.28,4.33,2.64,reject
97,97,1.01,Premium,H,SI1,60.6,61.0,4320,6.39,6.35,3.86,reject
98,98,0.35,Very Good,H,VVS1,62.6,57.0,798,4.45,4.47,2.79,reject
99,99,1.5,Premium,E,VS1,60.3,60.0,16409,7.34,7.43,4.45,reject
100,100,0.42,Ideal,H,SI1,61.7,55.0,885,4.84,4.85,2.99,reject
101,101,1.16,Premium,F,VS2,62.7,58.0,7003,6.71,6.65,4.19,reject
102,102,0.38,Premium,G,IF,62.5,60.0,1227,4.64,4.61,2.89,reject
103,103,0.41,Premium,G,VS1,60.5,57.0,961,4.85,4.81,2.92,reject
104,104,0.3,Very Good,J,VS1,63.5,58.0,506,4.27,4.24,2.7,reject
105,105,1.01,Very Good,E,VS2,63.3,58.0,6516,6.38,6.35,4.03,reject
106,106,0.33,Premium,G,VS1,62.3,58.0,666,4.41,4.45,2.76,reject
107,107,1.01,Premium,D,SI2,62.6,60.0,4338,6.4,6.37,4.0,reject
108,108,0.33,Premium,D,SI1,60.4,60.0,780,4.46,4.41,2.68,reject
109,109,0.82,Very Good,I,VS1,63.6,58.9,2583,5.88,5.93,3.76,reject
110,110,0.4,Ideal,E,SI1,61.2,57.0,945,4.74,4.7,2.89,reject
111,111,0.92,Very Good,F,SI2,62.9,58.0,3763,6.18,6.22,3.9,reject
112,112,1.15,Premium,H,SI1,60.9,57.0,5139,6.8,6.72,4.12,reject
113,113,1.0,Fair,H,SI2,69.5,55.0,2875,6.17,6.1,4.26,reject
114,114,1.07,Ideal,F,SI2,61.5,55.0,5240,6.56,6.62,4.05,reject
115,115,1.5,Ideal,F,SI1,60.9,56.0,8770,7.43,7.36,4.5,reject
116,116,1.2,Very Good,H,VS2,63.2,54.0,6423,6.73,6.78,4.27,reject
117,117,0.76,Very Good,F,SI1,62.7,57.0,2533,5.81,5.86,3.66,reject
118,118,0.9,Premium,G,VS2,61.7,59.0,4269,6.14,6.22,3.81,reject
119,119,0.71,Ideal,E,SI1,61.7,56.0,2704,5.72,5.69,3.52,reject
120,120,1.35,Premium,J,VS2,60.5,56.0,6254,7.19,7.12,4.33,reject
121,121,1.16,Ideal,H,SI2,61.1,56.0,5509,6.78,6.79,4.15,reject
122,122,0.7,Premium,I,VVS1,61.2,59.0,2513,5.65,5.69,3.47,reject
123,123,1.02,Very Good,E,VS1,61.0,58.0,7503,6.46,6.52,3.96,reject
124,124,0.36,Very Good,G,SI1,61.2,63.0,537,4.56,4.59,2.8,reject
125,125,1.21,Premium,H,VS2,61.5,58.0,6710,6.82,6.78,4.18,reject
126,126,0.9,Good,E,SI1,64.3,62.0,3400,6.0,6.07,3.88,reject
127,127,2.31,Premium,J,SI1,61.1,60.0,15323,8.58,8.51,5.22,reject
128,128,1.34,Ideal,G,SI2,61.1,56.0,7058,7.11,7.13,4.35,reject
129,129,0.77,Very Good,E,SI2,60.4,58.0,3002,5.91,5.95,3.58,reject
130,130,0.3,Ideal,D,SI1,62.2,56.0,709,4.3,4.25,2.66,reject
131,131,2.28,Premium,J,VS2,62.4,58.0,16369,8.45,8.35,5.24,reject
132,132,0.9,Very Good,G,VS2,61.5,60.0,4386,6.13,6.16,3.78,reject
133,133,1.31,Premium,I,VS2,60.0,58.0,6921,7.15,7.11,4.28,reject
134,134,2.01,Very Good,J,SI1,62.4,59.0,12392,8.02,8.08,5.02,reject
135,135,0.73,Ideal,I,VS2,61.6,54.0,2327,5.81,5.84,3.59,reject
136,136,0.3,Ideal,H,VS1,62.9,56.0,675,4.27,4.22,2.67,reject
137,137,0.36,Premium,G,SI2,59.3,59.0,608,4.66,4.62,2.75,reject
138,138,2.32,Ideal,H,SI1,62.6,57.0,18080,8.46,8.52,5.32,reject
139,139,0.36,Premium,G,VS1,61.7,59.0,726,4.55,4.59,2.82,reject
140,140,0.4,Ideal,E,VS1,61.6,56.0,1053,4.73,4.78,2.93,accept
141,141,0.41,Ideal,J,VS1,61.6,55.1,674,4.75,4.8,2.95,reject
142,142,1.1,Ideal,G,VS1,61.3,54.0,6535,6.69,6.65,4.09,reject
143,143,0.7,Ideal,F,SI1,61.6,56.0,2319,5.73,5.67,3.51,reject
144,144,0.52,Very Good,G,SI1,63.5,58.0,1170,5.14,5.1,3.25,reject
145,145,1.0,Premium,I,SI1,60.5,59.0,4200,6.54,6.49,3.94,reject
146,146,2.16,Ideal,H,SI1,61.9,57.0,17820,8.3,8.38,5.16,reject
147,147,1.51,Ideal,J,VVS2,61.4,59.0,9334,7.34,7.39,4.52,reject
148,148,0.42,Premium,G,SI1,61.7,58.0,945,4.8,4.76,2.95,reject
149,149,0.41,Very Good,E,VS1,62.2,57.0,1079,4.74,4.78,2.96,accept
150,150,0.74,Ideal,J,VS1,61.7,57.0,2468,5.79,5.84,3.59,reject
151,151,0.55,Ideal,D,SI2,61.6,56.0,1364,5.28,5.31,3.26,reject
152,152,0.71,Good,F,SI1,64.3,58.0,2258,5.61,5.55,3.59,reject
153,153,0.91,Premium,H,SI1,60.9,58.0,3475,6.22,6.26,3.8,reject
154,154,0.57,Ideal,G,VS1,61.4,55.0,1972,5.34,5.38,3.29,reject
155,155,1.22,Ideal,F,SI2,62.5,56.2,6401,6.81,6.85,4.27,reject
156,156,0.41,Premium,D,SI2,62.3,61.0,818,4.75,4.72,2.95,reject
157,157,0.9,Premium,E,SI1,61.9,58.0,4209,6.17,6.1,3.8,reject
158,158,0.94,Premium,G,SI1,61.9,57.0,4106,6.29,6.24,3.88,reject
159,159,0.52,Ideal,I,VVS2,62.2,57.0,1316,5.18,5.11,3.2,reject
160,160,0.28,Very Good,G,VVS2,62.5,53.0,522,4.18,4.21,2.62,reject
161,161,0.9,Fair,H,SI2,66.0,63.0,2376,5.89,5.79,3.86,reject
162,162,0.9,Very Good,J,VVS1,60.4,60.0,3746,6.23,6.28,3.78,reject
163,163,0.3,Very Good,H,VS1,63.2,59.0,639,4.31,4.27,2.71,reject
164,164,0.98,Premium,F,SI2,61.8,58.0,4308,6.37,6.32,3.92,reject
165,165,0.32,Ideal,H,VVS1,62.9,57.0,936,4.38,4.33,2.74,reject
166,166,0.52,Ideal,H,VS1,62.5,58.0,1582,5.14,5.17,3.22,reject
167,167,1.0,Premium,F,SI1,59.0,59.0,4144,6.55,6.5,3.85,reject
168,168,0.3,Ideal,J,VS2,61.6,56.0,384,4.31,4.33,2.66,reject
169,169,0.31,Ideal,G,VVS1,61.5,54.0,789,4.36,4.39,2.69,reject
170,170,1.01,Very Good,G,VS2,62.5,59.0,6204,6.34,6.37,3.97,reject
171,171,0.32,Ideal,E,VS1,61.7,57.0,972,4.42,4.39,2.72,accept
172,172,0.42,Ideal,F,SI2,61.7,54.0,626,4.85,4.87,3.0,reject
173,173,0.3,Ideal,G,VS1,61.5,57.0,605,4.31,4.34,2.66,reject
174,174,1.71,Premium,J,SI1,61.9,58.0,7757,7.62,7.56,4.7,reject
175,175,1.25,Very Good,H,VS2,63.3,57.0,7525,6.87,6.82,4.33,reject
176,176,1.53,Very Good,I,VS1,62.8,55.0,10602,7.35,7.4,4.63,reject
177,177,1.07,Ideal,G,VS2,62.3,57.0,6558,6.58,6.54,4.09,reject
178,178,0.54,Ideal,G,VS2,61.2,56.0,1605,5.25,5.26,3.22,reject
179,179,1.67,Ideal,D,SI1,62.6,54.0,14154,7.57,7.63,4.76,reject
180,180,0.51,Very Good,E,SI1,61.0,58.0,1343,5.1,5.13,3.12,reject
181,181,1.04,Ideal,I,SI1,62.6,56.0,4543,6.55,6.48,4.08,reject
182,182,2.01,Very Good,I,VS2,62.5,61.0,15675,7.97,8.03,5.0,reject
183,183,0.5,Good,F,VS1,58.0,61.0,1415,5.18,5.23,3.02,accept
184,184,1.09,Very Good,F,IF,61.1,58.0,10663,6.63,6.69,4.07,accept
185,185,1.19,Very Good,H,VS2,61.1,58.0,6819,6.78,6.83,4.16,reject
186,186,2.18,Good,H,SI1,63.8,57.0,12825,8.24,8.17,5.23,reject
187,187,0.56,Premium,G,SI2,59.6,58.0,1103,5.42,5.35,3.21,reject
188,188,0.34,Ideal,G,VVS2,61.9,57.0,775,4.44,4.48,2.76,reject
189,189,1.51,Ideal,I,VS2,60.6,56.0,9442,7.44,7.47,4.52,reject
190,190,1.01,Very Good,E,VS2,62.9,60.0,6714,6.36,6.4,4.01,reject
191,191,0.3,Ideal,G,VVS1,62.0,58.0,764,4.28,4.3,2.66,reject
192,192,0.38,Ideal,H,VS1,62.2,53.7,768,4.63,4.68,2.9,reject
193,193,1.0,Good,D,SI1,64.3,62.0,4312,6.18,6.13,3.96,reject
194,194,1.05,Ideal,G,VS2,60.8,57.0,6486,6.58,6.65,4.02,reject
195,195,0.7,Good,I,SI1,63.6,55.0,1995,5.62,5.58,3.56,reject
196,196,1.19,Premium,H,SI2,61.9,58.0,4332,6.84,6.77,4.21,reject
197,197,0.71,Premium,H,SI2,60.5,60.0,2224,5.81,5.73,3.49,reject
198,198,0.41,Premium,H,VS1,58.2,59.0,990,4.92,4.88,2.85,reject
199,199,0.3,Premium,D,SI1,61.7,60.0,709,4.28,4.25,2.63,reject
200,200,2.01,Ideal,H,SI1,62.1,55.0,18295,8.12,8.07,5.03,reject
201,201,0.5,Premium,E,SI1,60.2,58.0,1316,5.15,5.18,3.11,reject
202,202,0.41,Very Good,E,SI1,61.1,62.0,705,4.76,4.83,2.93,reject
203,203,0.61,Very Good,H,VVS2,62.8,58.0,1877,5.4,5.42,3.4,reject
204,204,1.27,Premium,J,VS2,62.8,58.0,4011,6.96,6.92,4.36,reject
205,205,1.51,Premium,E,VS2,59.8,58.0,14482,7.55,7.52,4.47,reject
206,206,0.9,Premium,D,VS2,58.7,62.0,4505,6.32,6.29,3.7,reject
207,207,0.71,Premium,H,SI2,61.7,59.0,1567,5.76,5.72,3.54,reject
208,208,0.73,Ideal,I,VVS1,61.7,57.0,2561,5.83,5.78,3.58,reject
209,209,0.74,Ideal,H,VS1,62.1,55.0,3254,5.82,5.84,3.62,reject
210,210,0.93,Very Good,G,SI2,62.9,56.0,4163,6.2,6.23,3.91,reject
211,211,1.0,Ideal,H,I1,61.3,57.0,3080,6.41,6.44,3.94,reject
212,212,1.01,Very Good,F,SI1,63.0,58.0,4619,6.31,6.39,4.0,reject
213,213,0.51,Ideal,G,SI1,61.5,54.0,1175,5.17,5.21,3.19,reject
214,214,0.56,Premium,H,VS1,60.1,58.0,1585,5.4,5.35,3.23,reject
215,215,1.6,Ideal,J,VS2,62.1,56.0,9681,7.47,7.51,4.65,reject
216,216,1.22,Very Good,G,IF,62.0,59.0,8793,6.8,6.85,4.23,reject
217,217,1.5,Good,H,I1,64.0,56.0,4022,7.18,7.05,4.56,reject
218,218,0.38,Ideal,E,VS1,62.2,55.0,866,4.63,4.67,2.89,accept
219,219,1.0,Premium,E,SI2,61.1,58.0,4704,6.48,6.44,3.95,reject
220,220,0.7,Fair,I,I1,68.6,57.0,1147,5.46,5.34,3.71,reject
221,221,1.51,Premium,G,VS2,60.7,60.0,12551,7.4,7.36,4.48,reject
222,222,0.5,Very Good,E,SI2,58.0,63.0,1009,5.22,5.19,3.02,reject
223,223,0.3,Good,E,SI1,63.2,56.0,526,4.27,4.3,2.71,reject
224,224,0.8,Good,H,SI2,58.4,61.0,2474,6.02,6.06,3.53,reject
225,225,1.44,Premium,J,SI2,58.2,58.0,4064,7.39,7.35,4.29,reject
226,226,1.27,Very Good,I,VS2,62.4,58.0,6443,6.83,6.89,4.28,reject
227,227,1.52,Ideal,H,VS2,61.8,55.1,11333,7.38,7.42,4.58,reject
228,228,0.47,Ideal,J,VVS2,62.1,54.5,953,4.97,4.99,3.09,reject
229,229,1.0,Very Good,E,VS2,62.9,59.0,6245,6.27,6.38,3.98,reject
230,230,0.9,Very Good,D,SI2,62.9,59.0,3706,6.06,6.15,3.84,reject
231,231,1.0,Ideal,H,VS2,62.5,56.0,5139,6.41,6.33,3.98,reject
232,232,0.32,Good,E,SI1,63.1,56.0,524,4.34,4.37,2.75,reject
233,233,0.38,Ideal,I,SI1,61.8,54.0,593,4.66,4.7,2.89,reject
234,234,1.57,Very Good,D,SI1,62.3,59.0,12304,7.39,7.44,4.62,reject
235,235,0.71,Good,G,VS1,58.1,59.0,2628,5.85,5.92,3.42,reject
236,236,1.01,Good,D,SI1,58.4,62.0,5700,6.48,6.5,3.79,reject
237,237,0.34,Ideal,E,VS1,61.0,57.0,805,4.49,4.52,2.75,accept
238,238,1.03,Ideal,F,VVS2,61.9,53.0,9131,6.52,6.54,4.04,reject
239,239,0.3,Ideal,H,VS1,62.3,55.1,539,4.29,4.32,2.68,reject
240,240,0.32,Premium,G,IF,61.0,59.0,891,4.38,4.41,2.68,reject
241,241,0.31,Good,G,VS1,63.7,56.0,802,4.3,4.27,2.73,reject
242,242,0.34,Ideal,I,SI1,61.9,56.0,469,4.47,4.5,2.77,reject
243,243,0.51,Very Good,F,SI1,62.0,54.0,1265,5.15,5.18,3.2,reject
244,244,1.02,Ideal,G,SI1,62.2,56.0,5044,6.46,6.44,4.01,reject
245,245,1.02,Very Good,E,SI1,63.2,61.0,5278,6.37,6.31,4.01,reject
246,246,0.3,Ideal,D,SI1,61.4,55.0,552,4.29,4.34,2.65,reject
247,247,0.73,Ideal,E,SI1,59.1,59.0,2846,5.92,5.95,3.51,reject
248,248,0.45,Fair,F,VS1,66.9,54.0,945,4.85,4.75,3.21,accept
249,249,0.56,Fair,H,VS2,52.7,70.0,1293,5.71,5.57,2.97,reject
250,250,0.31,Good,G,VS2,63.1,58.0,544,4.3,4.35,2.73,reject
251,251,1.16,Ideal,G,VVS2,62.2,56.0,9251,6.7,6.74,4.18,reject
252,252,0.5,Ideal,E,SI2,62.6,56.0,1104,5.05,5.11,3.18,reject
253,253,1.58,Premium,H,SI2,62.4,57.0,8777,7.45,7.36,4.62,reject
254,254,1.0,Premium,E,VS1,60.4,59.0,7744,6.51,6.54,3.94,reject
255,255,1.0,Very Good,E,SI2,61.2,58.0,4777,6.37,6.41,3.91,reject
256,256,0.97,Ideal,H,SI2,61.6,56.0,3802,6.39,6.36,3.93,reject
257,257,0.7,Very Good,G,SI1,62.5,57.0,2106,5.63,5.7,3.54,reject
258,258,0.79,Ideal,F,SI1,62.0,55.0,3081,5.93,5.95,3.68,reject
259,259,1.0,Premium,G,VS1,60.6,59.0,6006,6.42,6.48,3.91,reject
260,260,2.0,Fair,J,I1,66.5,56.0,6796,7.93,7.8,5.23,reject
261,261,0.3,Very Good,H,SI1,59.4,63.0,540,4.4,4.35,2.6,reject
262,262,1.21,Premium,J,SI1,62.6,58.0,4269,6.74,6.71,4.21,reject
263,263,1.01,Premium,G,VS2,62.4,58.0,5999,6.38,6.41,3.99,reject
264,264,0.71,Ideal,J,VS1,61.9,55.0,1932,5.69,5.75,3.54,reject
265,265,0.97,Good,I,VS2,64.5,61.0,4355,6.16,6.21,3.99,reject
266,266,0.72,Ideal,I,VS2,61.7,56.0,2650,5.73,5.78,3.55,reject
267,267,0.91,Good,H,SI1,63.8,56.0,3323,6.09,6.04,3.87,reject
268,268,0.39,Ideal,J,VS2,61.4,57.0,746,4.72,4.66,2.88,reject
269,269,1.5,Premium,E,VS1,59.5,61.0,17143,7.46,7.43,4.43,reject
270,270,2.02,Ideal,I,SI2,60.9,60.0,14027,8.08,8.14,4.94,reject
271,271,1.5,Very Good,G,VS2,60.5,57.0,12014,7.39,7.43,4.48,reject
272,272,1.0,Good,G,VVS1,63.8,60.0,7007,6.31,6.35,4.04,reject
273,273,2.0,Good,H,SI1,63.3,59.0,17600,7.96,8.03,5.06,reject
274,274,2.02,Fair,H,SI1,56.2,61.0,15695,8.8,8.33,4.81,reject
275,275,1.23,Premium,D,VS2,59.3,59.0,9836,7.03,6.96,4.15,reject
276,276,0.35,Ideal,F,SI1,61.1,56.0,707,4.56,4.58,2.79,reject
277,277,0.41,Ideal,G,VVS2,61.3,56.0,1076,4.77,4.76,2.92,reject
278,278,1.15,Ideal,G,VVS2,61.8,56.0,9457,6.72,6.75,4.16,reject
279,279,0.91,Very Good,E,SI2,62.4,58.0,3936,6.11,6.14,3.82,reject
280,280,1.01,Very Good,F,VVS1,62.8,58.0,9243,6.35,6.39,4.0,reject
281,281,0.52,Premium,G,VS2,62.0,58.0,1577,5.2,5.16,3.21,reject
282,282,1.13,Premium,D,SI2,62.0,58.0,5280,6.64,6.68,4.13,reject
283,283,0.5,Very Good,E,VS1,62.7,56.0,1675,5.09,5.12,3.2,accept
284,284,1.54,Ideal,G,SI1,61.5,55.0,11333,7.4,7.45,4.57,reject
285,285,1.5,Premium,G,I1,60.4,55.0,4140,7.4,7.32,4.45,reject
286,286,1.23,Ideal,I,SI2,61.2,58.0,5315,6.86,6.9,4.21,reject
287,287,0.33,Ideal,G,VVS1,61.6,55.0,838,4.46,4.47,2.75,reject
288,288,1.14,Ideal,H,SI1,62.2,57.0,4916,6.73,6.67,4.17,reject
289,289,0.33,Very Good,G,VS1,61.0,57.0,652,4.46,4.49,2.72,reject
290,290,1.02,Very Good,H,SI1,63.5,58.0,4688,6.39,6.36,4.05,reject
291,291,0.7,Good,F,SI1,63.8,60.0,2401,5.6,5.63,3.58,reject
292,292,0.42,Ideal,D,VS1,61.8,56.0,1132,4.82,4.86,2.99,accept
293,293,0.28,Very Good,F,VS1,61.0,59.0,487,4.23,4.29,2.6,accept
294,294,0.81,Fair,F,SI2,65.7,57.0,2031,5.8,5.75,3.79,reject
295,295,0.53,Ideal,G,VS1,62.1,57.0,1721,5.16,5.18,3.21,reject
296,296,0.91,Very Good,H,SI1,62.7,56.0,3762,6.14,6.18,3.86,reject
297,297,1.04,Very Good,I,SI1,63.2,54.0,4193,6.49,6.42,4.08,reject
298,298,0.31,Premium,G,SI1,61.7,55.0,593,4.38,4.37,2.7,reject
299,299,1.2,Very Good,G,SI1,62.9,57.0,5918,6.73,6.79,4.25,reject
300,300,1.12,Very Good,H,SI2,61.8,58.0,4624,6.62,6.68,4.11,reject
301,301,0.94,Very Good,E,SI1,61.8,56.0,4661,6.29,6.33,3.9,reject
302,302,1.13,Premium,H,VS2,62.4,58.0,5779,6.61,6.66,4.14,reject
303,303,0.9,Very Good,H,SI1,61.9,59.0,3595,6.17,6.21,3.83,reject
304,304,0.58,Ideal,I,VVS1,62.1,56.0,1805,5.34,5.32,3.31,reject
305,305,1.12,Ideal,G,VS2,60.8,57.0,6683,6.74,6.69,4.08,reject
306,306,2.02,Very Good,H,SI1,63.4,60.0,17672,7.96,8.04,5.07,reject
307,307,0.27,Ideal,G,VS2,61.5,56.0,490,4.16,4.18,2.56,reject
308,308,0.7,Ideal,H,VVS1,62.0,57.0,2541,5.66,5.7,3.52,reject
309,309,1.21,Good,E,SI1,63.6,58.0,6861,6.65,6.77,4.27,reject
310,310,1.0,Fair,I,SI2,65.8,58.0,3348,6.23,6.27,4.11,reject
311,311,1.02,Premium,G,VVS1,58.0,61.0,8768,6.67,6.58,3.84,reject
312,312,0.3,Ideal,F,VS1,62.1,55.0,612,4.31,4.35,2.69,accept
313,313,1.5,Premium,D,VS2,61.8,60.0,15102,7.3,7.37,4.53,reject
